run_id,dataset,variant,seed,status,provenance,source_path,runtime_sec,attempts
reused__metr_la__sraf_id_forecast_only__seed42,metr_la,sraf_id_forecast_only,42,completed,reused,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_20260728\loss_ablation\metr_la\sraf_id_lambda000\seed_42,,
reused__metr_la__id_mlp_ca__seed42,metr_la,id_mlp_ca,42,completed,reused,E:\paper_projects\sensors_faulty_sensor_paper\experiments\id_mlp_ca_matched_fault_distribution_10seed\per_run\metr_la__id_mlp_ca_matched__seed42,,
final_ablation__metr_la__temporal_only_forecast_only__seed42,metr_la,temporal_only_forecast_only,42,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\metr_la\temporal_only_forecast_only\seed_42,914.3387417,1.0
final_ablation__metr_la__spatial_only_forecast_only__seed42,metr_la,spatial_only_forecast_only,42,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\metr_la\spatial_only_forecast_only\seed_42,513.8307246999998,1.0
final_ablation__metr_la__fixed_fusion_forecast_only__seed42,metr_la,fixed_fusion_forecast_only,42,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\metr_la\fixed_fusion_forecast_only\seed_42,641.4226917000005,1.0
final_ablation__metr_la__gated_fusion_forecast_only__seed42,metr_la,gated_fusion_forecast_only,42,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\metr_la\gated_fusion_forecast_only\seed_42,915.7740302999991,1.0
reused__metr_la__sraf_id_forecast_only__seed43,metr_la,sraf_id_forecast_only,43,completed,reused,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_20260728\loss_ablation\metr_la\sraf_id_lambda000\seed_43,,
reused__metr_la__id_mlp_ca__seed43,metr_la,id_mlp_ca,43,completed,reused,E:\paper_projects\sensors_faulty_sensor_paper\experiments\id_mlp_ca_matched_fault_distribution_10seed\per_run\metr_la__id_mlp_ca_matched__seed43,,
final_ablation__metr_la__temporal_only_forecast_only__seed43,metr_la,temporal_only_forecast_only,43,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\metr_la\temporal_only_forecast_only\seed_43,765.4205864,1.0
final_ablation__metr_la__spatial_only_forecast_only__seed43,metr_la,spatial_only_forecast_only,43,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\metr_la\spatial_only_forecast_only\seed_43,614.2125074999994,1.0
final_ablation__metr_la__fixed_fusion_forecast_only__seed43,metr_la,fixed_fusion_forecast_only,43,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\metr_la\fixed_fusion_forecast_only\seed_43,718.6204078000001,1.0
final_ablation__metr_la__gated_fusion_forecast_only__seed43,metr_la,gated_fusion_forecast_only,43,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\metr_la\gated_fusion_forecast_only\seed_43,1063.3940596000011,1.0
reused__metr_la__sraf_id_forecast_only__seed44,metr_la,sraf_id_forecast_only,44,completed,reused,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_20260728\loss_ablation\metr_la\sraf_id_lambda000\seed_44,,
reused__metr_la__id_mlp_ca__seed44,metr_la,id_mlp_ca,44,completed,reused,E:\paper_projects\sensors_faulty_sensor_paper\experiments\id_mlp_ca_matched_fault_distribution_10seed\per_run\metr_la__id_mlp_ca_matched__seed44,,
