dataset,model,avg_faulty_mae_mean,avg_faulty_mae_std
METR-LA,ID-MLP-CA,5.1055822769800825,0.2136865439118241
METR-LA,KNN+ID-MLP,6.498913335800171,1.4576293230722257
METR-LA,PPCA-lite+ID-MLP,7.581082479159037,3.7745026935047874
METR-LA,PyPOTS-SAITS+ID-MLP,7.819110703468323,4.116557721381485
METR-LA,SRAF-ID,4.903770200411478,0.2118412826572987
PEMS-BAY,ID-MLP-CA,1.9939896523952485,0.0863561260993154
PEMS-BAY,KNN+ID-MLP,2.5966103255748747,0.7860256537601564
PEMS-BAY,PPCA-lite+ID-MLP,2.7797241111596427,1.2909671529443334
PEMS-BAY,PyPOTS-SAITS+ID-MLP,3.072338990370433,1.699109731411144
PEMS-BAY,SRAF-ID,1.9625125209490455,0.0959238523680505
