dataset,model,clean_mae_mean,avg_faulty_mae_mean
METR-LA,ID-MLP-CA,4.720575761795044,5.1055822769800825
METR-LA,KNN+ID-MLP,4.63552360534668,6.498913335800171
METR-LA,PPCA-lite+ID-MLP,4.642674446105957,7.581082479159037
METR-LA,PyPOTS-SAITS+ID-MLP,4.647175455093384,7.819110703468323
METR-LA,SRAF-ID,4.635579013824463,4.903770200411478
PEMS-BAY,ID-MLP-CA,1.8198332905769348,1.9939896523952485
PEMS-BAY,KNN+ID-MLP,1.7298053979873658,2.5966103255748747
PEMS-BAY,PPCA-lite+ID-MLP,1.7324216842651368,2.7797241111596427
PEMS-BAY,PyPOTS-SAITS+ID-MLP,1.7304443717002869,3.072338990370433
PEMS-BAY,SRAF-ID,1.8126391887664797,1.9625125209490455
