dataset,fault,id_mlp_ca_mae_mean,sraf_id_mae_mean,relative_gain_pct,seeds
METR-LA,CO24,5.396787166595459,4.97526912689209,7.810536652481743,10
METR-LA,GN-high,4.9530556201934814,4.837192440032959,2.339226308869839,10
METR-LA,LD-high,5.016835355758667,4.926196575164795,1.8066923501850827,10
METR-LA,RM20,5.109198045730591,4.7275858402252195,7.469121417680389,10
METR-LA,RM40,5.494047737121582,4.86636381149292,11.424799267534494,10
METR-LA,SV-high,4.8788055896759035,4.812861967086792,1.351634562538334,10
PEMS-BAY,CO24,1.9805806279182434,1.955499255657196,1.266364615885902,10
PEMS-BAY,GN-high,2.11757173538208,2.0872031927108763,1.434121081415181,10
PEMS-BAY,LD-high,1.9930258512496948,2.0233768224716187,-1.5228588832850705,10
PEMS-BAY,RM20,1.9247591018676757,1.8577115416526795,3.483426063549311,10
PEMS-BAY,RM40,2.0418596982955934,1.9262687802314757,5.661060755575184,10
PEMS-BAY,SV-high,1.888113296031952,1.874935221672058,0.6979493438020323,10
