dataset,fault,id_mlp_ca_horizon12_mae_mean,sraf_id_horizon12_mae_mean,relative_gain_pct,seeds,seed_wins
METR-LA,CO24,6.6055584907531735,6.265288162231445,5.151272659201453,10,10
METR-LA,GN-high,6.270451927185059,6.130707788467407,2.22861350888924,10,10
METR-LA,LD-high,6.257673120498657,6.16755428314209,1.440133347032121,10,8
METR-LA,RM20,6.380074167251587,6.070431041717529,4.853284106373428,10,10
METR-LA,RM40,6.636783599853516,6.162181043624878,7.1510928311586435,10,10
METR-LA,SV-high,6.206762456893921,6.135812902450562,1.1431008506625688,10,9
PEMS-BAY,CO24,2.417485475540161,2.3932603359222413,1.0020800481751388,10,9
PEMS-BAY,GN-high,2.510102367401123,2.483181190490723,1.0725131078328727,10,10
PEMS-BAY,LD-high,2.3995765686035155,2.4147806406021117,-0.6336147884393005,10,2
PEMS-BAY,RM20,2.407661080360413,2.3418823719024657,2.7320584692967094,10,10
PEMS-BAY,RM40,2.5005668878555296,2.3881170749664307,4.496972803856297,10,10
PEMS-BAY,SV-high,2.3697529792785645,2.3547780990600584,0.6319173495908,10,8
