dataset,model,avg_faulty_mae_mean,avg_faulty_mae_std,avg_faulty_rmse_mean,seeds,severe_fault_mae_mean,clean_mae_mean
METR-LA,ID-MLP-CA,5.1055822769800825,0.21368654391182412,12.677974128723145,10,5.197662770748138,4.720575761795044
METR-LA,KNN+ID-MLP,6.498913335800171,1.4576293230722257,13.581499385833741,10,7.081549680233001,4.6355236053466795
METR-LA,PPCA-lite+ID-MLP,7.581082479159037,3.7745026935047874,15.37612042427063,10,8.941316390037537,4.642674446105957
METR-LA,PyPOTS-SAITS+ID-MLP,7.819110703468323,4.116557721381485,16.287171792984008,10,9.294227540493011,4.647175455093384
METR-LA,SRAF-ID-v1-formal,4.938123615582784,0.1491643393600633,12.409854729970297,10,5.008669352531433,4.668907499313354
METR-LA,SRAF-ID-v2-current-best,4.915701731046041,0.20979759343978324,12.538575220108033,10,4.990398514270782,4.643816566467285
METR-LA,SRAF-ID-v2-current-best-noGate,4.903770200411478,0.21184128265729874,12.522906096776326,10,4.976426255702973,4.635579013824463
PEMS-BAY,ID-MLP-CA,1.9939896523952485,0.0863561260993154,4.406602962811788,10,2.0454427033662794,1.8198332905769348
PEMS-BAY,KNN+ID-MLP,2.5966103255748747,0.7860256537601564,5.091107511520386,10,2.8982302099466324,1.7298053979873658
PEMS-BAY,PPCA-lite+ID-MLP,2.7797241111596427,1.2909671529443334,5.673828307787577,10,3.2485926002264023,1.7324216842651368
PEMS-BAY,PyPOTS-SAITS+ID-MLP,3.0723389903704326,1.6991097314111439,6.0845404704411825,10,3.6833625882864,1.7304443717002869
PEMS-BAY,SRAF-ID-v1-formal,1.9751033544540406,0.08208369095471937,4.320830178260803,10,2.025373014807701,1.813110625743866
PEMS-BAY,SRAF-ID-v2-current-best,1.9629213054974874,0.09578760727029274,4.339593609174092,10,2.0153594344854353,1.8128776907920838
PEMS-BAY,SRAF-ID-v2-current-best-noGate,1.9625125209490457,0.09592385236805057,4.345179033279419,10,2.014932429790497,1.8126391887664794
