dataset,model,fault,mae_mean,mae_std,rmse_mean,rmse_std,h3_mae_mean,h6_mae_mean,h12_mae_mean,seeds,latency_mean_sec
METR-LA,SRAF-ID-v2-current-best,clean,4.643816566467285,0.021935318683949077,12.105711269378663,0.05315816755457839,3.650948929786682,4.692030000686645,6.008772611618042,10,1.5946786800003339
METR-LA,SRAF-ID-v2-current-best,continuous_outage_24,5.363003301620483,0.018634490765958266,13.499675273895264,0.05773537733033613,4.512058162689209,5.402595376968383,6.540691232681274,10,1.6800022300004003
METR-LA,SRAF-ID-v2-current-best,gaussian_noise_high,4.820000267028808,0.020331947015626118,12.192301940917968,0.04788598037808711,3.885876178741455,4.852055835723877,6.1062743186950685,10,1.6452075000001969
METR-LA,SRAF-ID-v2-current-best,linear_drift_high,4.916379642486572,0.03860586068281575,12.310514640808105,0.07021173363235839,3.986378312110901,4.9622527122497555,6.171987009048462,10,1.6182984099997157
METR-LA,SRAF-ID-v2-current-best,random_missing_20,4.723700094223022,0.020640555188116323,12.258049488067627,0.05116868686345377,3.7540650367736816,4.773634672164917,6.054733419418335,10,1.7453328500002043
METR-LA,SRAF-ID-v2-current-best,random_missing_40,4.862210845947265,0.020747753477005963,12.525359439849854,0.048721328449683785,3.9301578044891357,4.909193706512451,6.14714937210083,10,1.769587630000069
METR-LA,SRAF-ID-v2-current-best,stuck_at_last_value_high,4.808916234970093,0.024812584920492695,12.445550537109375,0.05014229861792654,3.8658199071884156,4.847962999343872,6.118876838684082,10,1.644521650000388
METR-LA,SRAF-ID-v2-current-best-noGate,clean,4.635579013824463,0.008297347448638444,12.09374122619629,0.02321892536191474,3.645501708984375,4.683208465576172,6.001842594146728,10,1.6347105399997417
METR-LA,SRAF-ID-v2-current-best-noGate,continuous_outage_24,5.360856342315674,0.008632311293490466,13.47898359298706,0.04554351064667239,4.514667081832886,5.399036979675293,6.537292528152466,10,1.728312640000422
METR-LA,SRAF-ID-v2-current-best-noGate,gaussian_noise_high,4.807840871810913,0.011298746148598899,12.1844801902771,0.023443339636145175,3.8770708322525023,4.838354015350342,6.096296548843384,10,1.7115242199995464
METR-LA,SRAF-ID-v2-current-best-noGate,linear_drift_high,4.885411214828491,0.028364152620407736,12.288060665130615,0.0469854691612096,3.961196494102478,4.931093311309814,6.141292667388916,10,1.6509491800000433
METR-LA,SRAF-ID-v2-current-best-noGate,random_missing_20,4.713530588150024,0.009266999605224136,12.242475318908692,0.0251140572818869,3.7466467380523683,4.761941051483154,6.045859146118164,10,1.7813271600005465
METR-LA,SRAF-ID-v2-current-best-noGate,random_missing_40,4.8515965938568115,0.010376304107314447,12.507233142852783,0.02414622142462872,3.922269654273987,4.897018814086914,6.1372496604919435,10,1.8163052800004151
METR-LA,SRAF-ID-v2-current-best-noGate,stuck_at_last_value_high,4.803385591506958,0.024548545467659614,12.436203670501708,0.05889228386972434,3.862954020500183,4.8419599533081055,6.113574552536011,10,1.6930344999996578
PEMS-BAY,SRAF-ID-v2-current-best,clean,1.8128776907920838,0.006069171030862641,4.1047155380249025,0.014490108518850313,1.4751808166503906,1.842858350276947,2.307528042793274,10,2.5470730699991693
PEMS-BAY,SRAF-ID-v2-current-best,continuous_outage_24,2.0808743238449097,0.003315805307121039,4.646468591690064,0.011159632933562223,1.8165942072868346,2.110273838043213,2.4748194932937624,10,2.6795172299986008
PEMS-BAY,SRAF-ID-v2-current-best,gaussian_noise_high,2.081875538825989,0.008204083125748265,4.347426319122315,0.009071155775910842,1.8129600167274476,2.0951271295547484,2.480828285217285,10,2.611788809999416
PEMS-BAY,SRAF-ID-v2-current-best,linear_drift_high,1.991592562198639,0.022411626452870953,4.328395843505859,0.025275562308702638,1.7173336148262024,2.0129711985588075,2.390211248397827,10,2.590686100001767
PEMS-BAY,SRAF-ID-v2-current-best,random_missing_20,1.8451247096061707,0.006710947776488412,4.166896152496338,0.009918983056353555,1.5194538474082946,1.8719501972198487,2.3257318496704102,10,2.8453794600005495
PEMS-BAY,SRAF-ID-v2-current-best,random_missing_40,1.9070953130722046,0.007493084546500168,4.294123554229737,0.01327360477346802,1.599668037891388,1.9288358092308044,2.3656111478805544,10,2.963478380002198
PEMS-BAY,SRAF-ID-v2-current-best,stuck_at_last_value_high,1.8709653854370116,0.006024347716940033,4.254251194000244,0.014411630258276763,1.5513741493225097,1.896651291847229,2.3447154760360718,10,2.594325789998402
PEMS-BAY,SRAF-ID-v2-current-best-noGate,clean,1.8126391887664794,0.008340028954920703,4.111140966415405,0.02034347252391996,1.4738485932350158,1.8434719562530517,2.3082506895065307,10,2.532615930000611
PEMS-BAY,SRAF-ID-v2-current-best-noGate,continuous_outage_24,2.0821200132369997,0.006335347883089933,4.649584531784058,0.015373604234291243,1.8169028401374816,2.1124398708343506,2.47641236782074,10,2.6857063400006154
PEMS-BAY,SRAF-ID-v2-current-best-noGate,gaussian_noise_high,2.08225302696228,0.006254437321026946,4.355778360366822,0.013101774077003948,1.8134507060050964,2.0963018417358397,2.480163645744324,10,2.59203535000197
PEMS-BAY,SRAF-ID-v2-current-best-noGate,linear_drift_high,1.988718831539154,0.0122232581679792,4.33394684791565,0.012051676269715936,1.7130087256431579,2.0100921392440796,2.389736270904541,10,2.582423900001595
PEMS-BAY,SRAF-ID-v2-current-best-noGate,random_missing_20,1.8445083022117614,0.008039358191552997,4.171993732452393,0.018323252984362562,1.5179080247879029,1.8719518423080443,2.325917887687683,10,2.8090441400010606
PEMS-BAY,SRAF-ID-v2-current-best-noGate,random_missing_40,1.9066378474235535,0.008451051373285121,4.299071359634399,0.020708735181236698,1.5986618757247926,1.9288648962974548,2.3655770063400268,10,2.941955289999896
PEMS-BAY,SRAF-ID-v2-current-best-noGate,stuck_at_last_value_high,1.870837104320526,0.007856844673432227,4.260699367523193,0.019390418479621727,1.5504180192947388,1.897468662261963,2.3452449798583985,10,2.600436890000128
