dataset,model,seed,parameter_count,latency_mean_sec,training_time_sec,best_epoch
METR-LA,ID-MLP-CA,42,117868,0.6097770857143457,199.062381,33
METR-LA,ID-MLP-CA,43,117868,0.6506390142857137,193.24852869999995,17
METR-LA,ID-MLP-CA,44,117868,0.6681437428568253,277.8775832000001,29
METR-LA,ID-MLP-CA,45,117868,0.6266443857140465,265.2359349999988,27
METR-LA,ID-MLP-CA,46,117868,0.625077485714168,215.5252451999986,20
METR-LA,ID-MLP-CA,47,117868,0.6207210428562705,179.7810998999994,15
METR-LA,ID-MLP-CA,48,117868,0.655153657142364,200.06210909999936,18
METR-LA,ID-MLP-CA,49,117868,0.6483619714298194,306.7345865000025,33
METR-LA,ID-MLP-CA,50,117868,0.6226222999991607,250.5769806999997,25
METR-LA,ID-MLP-CA,51,117868,0.6415037857139916,242.83882799999992,24
METR-LA,KNN+ID-MLP,42,117868,0.7123638714285464,102.30831660000013,
METR-LA,KNN+ID-MLP,43,117868,0.7873068714284922,250.9972803999999,
METR-LA,KNN+ID-MLP,44,117868,0.7829703142857137,157.8119469000003,
METR-LA,KNN+ID-MLP,45,117868,0.7784588714286136,162.52163870000004,
METR-LA,KNN+ID-MLP,46,117868,0.788746242857347,151.26452370000152,
METR-LA,KNN+ID-MLP,47,117868,0.767496757142778,251.29458599999998,
METR-LA,KNN+ID-MLP,48,117868,0.7323320857140061,185.6674181999988,
METR-LA,KNN+ID-MLP,49,117868,0.7370472857141327,85.98615580000114,
METR-LA,KNN+ID-MLP,50,117868,0.7402526857144299,136.09865840000202,
METR-LA,KNN+ID-MLP,51,117868,0.8198731142848763,139.33001440000226,
METR-LA,PPCA-lite+ID-MLP,42,117868,0.7274167857142076,119.27652810000018,
METR-LA,PPCA-lite+ID-MLP,43,117868,0.9027513428571703,164.51460789999965,
METR-LA,PPCA-lite+ID-MLP,44,117868,0.818629428571772,107.92300019999948,
METR-LA,PPCA-lite+ID-MLP,45,117868,0.8124609285714541,155.66607750000003,
METR-LA,PPCA-lite+ID-MLP,46,117868,0.7742316142853919,151.74832570000035,
METR-LA,PPCA-lite+ID-MLP,47,117868,0.8654081285712891,95.01631069999712,
METR-LA,PPCA-lite+ID-MLP,48,117868,0.7800077999995015,148.00432020000153,
METR-LA,PPCA-lite+ID-MLP,49,117868,0.7811939857139285,139.24014399999942,
METR-LA,PPCA-lite+ID-MLP,50,117868,0.7919533714292422,135.55431039999894,
METR-LA,PPCA-lite+ID-MLP,51,117868,0.6788992857140589,228.04277410000213,
METR-LA,PyPOTS-SAITS+ID-MLP,42,117868,0.6912338142856242,118.60953100000006,
METR-LA,PyPOTS-SAITS+ID-MLP,43,117868,0.7854998142858156,112.27140640000016,
METR-LA,PyPOTS-SAITS+ID-MLP,44,117868,0.812897657142977,163.03007939999952,
METR-LA,PyPOTS-SAITS+ID-MLP,45,117868,0.8003747285713741,209.58303590000105,
METR-LA,PyPOTS-SAITS+ID-MLP,46,117868,0.8911176285712697,154.8426075999996,
METR-LA,PyPOTS-SAITS+ID-MLP,47,117868,0.7596784714280927,149.02505349999774,
METR-LA,PyPOTS-SAITS+ID-MLP,48,117868,0.9187629571419426,144.44028659999822,
METR-LA,PyPOTS-SAITS+ID-MLP,49,117868,0.7877044571427437,183.23761679999734,
METR-LA,PyPOTS-SAITS+ID-MLP,50,117868,0.7808067714286153,179.95764129999952,
METR-LA,PyPOTS-SAITS+ID-MLP,51,117868,0.7498825999999619,152.2688941000015,
METR-LA,SRAF-ID-v1-formal,42,118029,0.9526362142857708,261.8728647,29
METR-LA,SRAF-ID-v1-formal,43,118029,0.9758204285714912,328.49644709999984,23
METR-LA,SRAF-ID-v1-formal,44,118029,0.9851452857146796,407.34892279999985,31
METR-LA,SRAF-ID-v1-formal,45,118029,0.992996742856641,365.7731476000008,27
METR-LA,SRAF-ID-v1-formal,46,118029,0.9899708285712612,386.00794999999925,29
METR-LA,SRAF-ID-v1-formal,47,118029,0.9656587000000789,289.1665474000001,19
METR-LA,SRAF-ID-v1-formal,48,118029,0.9672695142851028,277.84370240000135,18
METR-LA,SRAF-ID-v1-formal,49,118029,0.9594856571436269,288.1008103999993,19
METR-LA,SRAF-ID-v1-formal,50,118029,0.976149928571041,377.25857779999933,28
METR-LA,SRAF-ID-v1-formal,51,118029,0.9741237000000963,248.24025650000112,15
METR-LA,SRAF-ID-v2-current-best,42,118830,1.6504890142857351,461.39653580000004,24
METR-LA,SRAF-ID-v2-current-best,43,118830,1.6785776428571677,588.5736482000002,33
METR-LA,SRAF-ID-v2-current-best,44,118830,1.6843217428569395,668.3073499000002,39
METR-LA,SRAF-ID-v2-current-best,45,118830,1.6791365714288986,586.2516517999993,33
METR-LA,SRAF-ID-v2-current-best,46,118830,1.6610024428573524,598.8634619999993,34
METR-LA,SRAF-ID-v2-current-best,47,118830,1.6791996285714308,608.9182146000003,34
METR-LA,SRAF-ID-v2-current-best,48,118830,1.6728890857152041,613.912564899998,35
METR-LA,SRAF-ID-v2-current-best,49,118830,1.6556958857155613,572.8783041999995,32
METR-LA,SRAF-ID-v2-current-best,50,118830,1.6909586999998802,736.4820796000022,44
METR-LA,SRAF-ID-v2-current-best,51,118830,1.6586277857136988,764.1353656000028,46
METR-LA,SRAF-ID-v2-current-best-noGate,42,118830,1.6916955142856491,584.4583993,33
METR-LA,SRAF-ID-v2-current-best-noGate,43,118830,1.7185242142858053,574.0531344000001,32
