dataset,model,fault,h3_mae_mean,h6_mae_mean,h12_mae_mean,seeds
METR-LA,ID-MLP-CA,clean,3.7133954524993897,4.7545675277709964,6.122997570037842,10
METR-LA,ID-MLP-CA,continuous_outage_24,4.538072109222412,5.435858583450317,6.629610586166382,10
METR-LA,ID-MLP-CA,gaussian_noise_high,4.053419399261474,5.004250955581665,6.316861915588379,10
METR-LA,ID-MLP-CA,linear_drift_high,4.136958837509155,5.065574216842651,6.258183336257934,10
METR-LA,ID-MLP-CA,random_missing_20,4.014462876319885,4.983692455291748,6.262473726272583,10
METR-LA,ID-MLP-CA,random_missing_40,4.527794075012207,5.38220796585083,6.535284185409546,10
METR-LA,ID-MLP-CA,stuck_at_last_value_high,3.9337103605270385,4.916779279708862,6.2358214378356935,10
METR-LA,KNN+ID-MLP,clean,3.6066241979599,4.684824657440186,6.067738103866577,10
METR-LA,KNN+ID-MLP,continuous_outage_24,4.253661680221557,5.2371622085571286,6.493161058425903,10
METR-LA,KNN+ID-MLP,gaussian_noise_high,6.103875064849854,6.641700553894043,7.449407148361206,10
METR-LA,KNN+ID-MLP,linear_drift_high,8.904560565948486,9.252336692810058,9.605691909790039,10
METR-LA,KNN+ID-MLP,random_missing_20,4.86731743812561,5.795832967758178,6.935541582107544,10
METR-LA,KNN+ID-MLP,random_missing_40,6.6056365966796875,7.3450408458709715,8.18934679031372,10
METR-LA,KNN+ID-MLP,stuck_at_last_value_high,3.9738068342208863,4.975149250030517,6.270249271392823,10
METR-LA,PPCA-lite+ID-MLP,clean,3.6122313499450684,4.693459844589233,6.081744050979614,10
METR-LA,PPCA-lite+ID-MLP,continuous_outage_24,3.8117763996124268,4.833012962341309,6.1556988716125485,10
METR-LA,PPCA-lite+ID-MLP,gaussian_noise_high,14.419250583648681,13.213833332061768,12.042720890045166,10
METR-LA,PPCA-lite+ID-MLP,linear_drift_high,13.177660655975341,12.474003982543945,11.653818798065185,10
METR-LA,PPCA-lite+ID-MLP,random_missing_20,3.9191626787185667,4.90752682685852,6.1749896049499515,10
METR-LA,PPCA-lite+ID-MLP,random_missing_40,4.320270013809204,5.201169443130493,6.335101795196533,10
METR-LA,PPCA-lite+ID-MLP,stuck_at_last_value_high,3.8898477792739867,4.908158016204834,6.207468509674072,10
METR-LA,PyPOTS-SAITS+ID-MLP,clean,3.620948576927185,4.696831464767456,6.078990745544433,10
