model,reference,faulty_win_count,faulty_pairs,h12_win_count,avg_gain_pct
KNN+ID-MLP,ID-MLP-CA,3,12,3,-28.472371558343127
PPCA-lite+ID-MLP,ID-MLP-CA,8,12,8,-43.57437764861748
PyPOTS-SAITS+ID-MLP,ID-MLP-CA,8,12,6,-53.02828864728759
SRAF-ID-v1-formal,ID-MLP-CA,11,12,11,2.079109972729281
SRAF-ID-v2-current-best,ID-MLP-CA,11,12,11,2.6136225660946004
SRAF-ID-v2-current-best-noGate,ID-MLP-CA,11,12,11,2.7418961891505735
ID-MLP-CA,SRAF-ID-v1-formal,1,12,1,-2.1672076524696133
KNN+ID-MLP,SRAF-ID-v1-formal,3,12,2,-31.049082305166323
PPCA-lite+ID-MLP,SRAF-ID-v1-formal,4,12,5,-46.26553642957515
PyPOTS-SAITS+ID-MLP,SRAF-ID-v1-formal,3,12,4,-55.74875634569341
SRAF-ID-v2-current-best,SRAF-ID-v1-formal,10,12,8,0.5459332563889002
SRAF-ID-v2-current-best-noGate,SRAF-ID-v1-formal,10,12,8,0.6772196470004128
ID-MLP-CA,SRAF-ID-v2-current-best,1,12,1,-2.7849037512117323
KNN+ID-MLP,SRAF-ID-v2-current-best,2,12,3,-32.299166928230555
PPCA-lite+ID-MLP,SRAF-ID-v2-current-best,3,12,5,-47.572643262336804
PyPOTS-SAITS+ID-MLP,SRAF-ID-v2-current-best,3,12,4,-57.23381356063766
SRAF-ID-v1-formal,SRAF-ID-v2-current-best,2,12,4,-0.6041025493488669
SRAF-ID-v2-current-best-noGate,SRAF-ID-v2-current-best,10,12,9,0.1334458295874977
