dataset,fault,n,id_mlp_ca_mae_mean,sraf_id_mae_mean,mean_delta_id_minus_sraf,sd_delta,ci95_low,ci95_high,positive_seed_count,paired_t_statistic,paired_t_p_value,wilcoxon_signed_rank_statistic,wilcoxon_exact_two_sided_p_value,raw_seed_deltas,id_mlp_ca_source,sraf_id_source,interpretation
METR-LA,random_missing_20,10,5.109198045730591,4.7275858402252195,0.3816122055053711,0.13703841646708567,0.2835808279048367,0.47964358310590555,10,8.806025225831942,1.0200329069065539e-05,0.0,0.001953125,42:0.441860199;43:0.343755245;44:0.560209274;45:0.287143230;46:0.362591743;47:0.229614258;48:0.288228512;49:0.265549183;50:0.377248764;51:0.659921646,E:\paper_projects\sensors_faulty_sensor_paper\experiments\id_mlp_ca_matched_fault_distribution_10seed\aggregate\formal_10seed_per_seed_metrics.csv,E:\paper_projects\sensors_faulty_sensor_paper\experiments\sraf_id_final_figure_table_package\sraf_id_softmax_formal_per_seed_metrics.csv,10/10 seed wins
METR-LA,random_missing_40,10,5.494047737121582,4.86636381149292,0.6276839256286622,0.20153173418224923,0.48351680781279216,0.7718510434445321,10,9.849123085832796,4.060339484079911e-06,0.0,0.001953125,42:0.750473976;43:0.635802269;44:0.817238331;45:0.488548756;46:0.602137089;47:0.401947021;48:0.501581192;49:0.441551685;50:0.573921680;51:1.063637257,E:\paper_projects\sensors_faulty_sensor_paper\experiments\id_mlp_ca_matched_fault_distribution_10seed\aggregate\formal_10seed_per_seed_metrics.csv,E:\paper_projects\sensors_faulty_sensor_paper\experiments\sraf_id_final_figure_table_package\sraf_id_softmax_formal_per_seed_metrics.csv,10/10 seed wins
METR-LA,continuous_outage_24,10,5.396787166595459,4.97526912689209,0.4215180397033692,0.043508094075820465,0.39039422414139685,0.45264185526534156,10,30.636990854828564,2.059180603808386e-10,0.0,0.001953125,42:0.500150681;43:0.413287640;44:0.427858829;45:0.390289307;46:0.396791935;47:0.372157574;48:0.434603691;49:0.364084244;50:0.440745831;51:0.475210667,E:\paper_projects\sensors_faulty_sensor_paper\experiments\id_mlp_ca_matched_fault_distribution_10seed\aggregate\formal_10seed_per_seed_metrics.csv,E:\paper_projects\sensors_faulty_sensor_paper\experiments\sraf_id_final_figure_table_package\sraf_id_softmax_formal_per_seed_metrics.csv,10/10 seed wins
METR-LA,gaussian_noise_high,10,4.9530556201934814,4.837192440032959,0.11586318016052255,0.04915209255087709,0.08070189131223265,0.15102446900881245,10,7.454241055524434,3.874784716095814e-05,0.0,0.001953125,42:0.211771011;43:0.104150772;44:0.110509396;45:0.108046532;46:0.103917122;47:0.062196732;48:0.113652706;49:0.042896748;50:0.123061657;51:0.178429127,E:\paper_projects\sensors_faulty_sensor_paper\experiments\id_mlp_ca_matched_fault_distribution_10seed\aggregate\formal_10seed_per_seed_metrics.csv,E:\paper_projects\sensors_faulty_sensor_paper\experiments\sraf_id_final_figure_table_package\sraf_id_softmax_formal_per_seed_metrics.csv,10/10 seed wins
METR-LA,linear_drift_high,10,5.016835355758667,4.926196575164795,0.09063878059387206,0.08685176397743273,0.02850877143845272,0.15276878974929142,9,3.3001631503003273,0.009227506896319682,2.0,0.005859375,42:0.157620907;43:0.067069054;44:0.163596153;45:0.013756275;46:0.048306942;47:-0.040040493;48:0.074234486;49:0.045810699;50:0.112186432;51:0.263847351,E:\paper_projects\sensors_faulty_sensor_paper\experiments\id_mlp_ca_matched_fault_distribution_10seed\aggregate\formal_10seed_per_seed_metrics.csv,E:\paper_projects\sensors_faulty_sensor_paper\experiments\sraf_id_final_figure_table_package\sraf_id_softmax_formal_per_seed_metrics.csv,positive aggregate delta with mixed seed-level behavior
METR-LA,stuck_at_last_value_high,10,4.8788055896759035,4.812861967086792,0.06594362258911132,0.04726035108138293,0.03213560406530093,0.09975164111292172,9,4.412409975224831,0.001689675489404796,1.0,0.00390625,42:0.158860683;43:0.037145615;44:0.052174568;45:0.053389549;46:0.052143574;47:0.026846409;48:0.078822613;49:-0.008003235;50:0.099677563;51:0.108378887,E:\paper_projects\sensors_faulty_sensor_paper\experiments\id_mlp_ca_matched_fault_distribution_10seed\aggregate\formal_10seed_per_seed_metrics.csv,E:\paper_projects\sensors_faulty_sensor_paper\experiments\sraf_id_final_figure_table_package\sraf_id_softmax_formal_per_seed_metrics.csv,positive aggregate delta with mixed seed-level behavior
PEMS-BAY,random_missing_20,10,1.9247591018676757,1.8577115416526795,0.06704756021499628,0.014307289035125103,0.05681274219826002,0.07728237823173253,10,14.8192296469408,1.2533191962038615e-07,0.0,0.001953125,42:0.069471240;43:0.075275302;44:0.062083840;45:0.067409039;46:0.054288983;47:0.035448074;48:0.085432529;49:0.073617220;50:0.066231251;51:0.081218123,E:\paper_projects\sensors_faulty_sensor_paper\experiments\id_mlp_ca_matched_fault_distribution_10seed\aggregate\formal_10seed_per_seed_metrics.csv,E:\paper_projects\sensors_faulty_sensor_paper\experiments\sraf_id_final_figure_table_package\sraf_id_softmax_formal_per_seed_metrics.csv,10/10 seed wins
PEMS-BAY,random_missing_40,10,2.0418596982955934,1.9262687802314757,0.11559091806411734,0.01742489668778757,0.10312589788299839,0.12805593824523628,10,20.977488960878485,5.95819615867299e-09,0.0,0.001953125,42:0.118467927;43:0.125187635;44:0.107143164;45:0.114847779;46:0.096586585;47:0.081715226;48:0.136597633;49:0.131324649;50:0.110184073;51:0.133854508,E:\paper_projects\sensors_faulty_sensor_paper\experiments\id_mlp_ca_matched_fault_distribution_10seed\aggregate\formal_10seed_per_seed_metrics.csv,E:\paper_projects\sensors_faulty_sensor_paper\experiments\sraf_id_final_figure_table_package\sraf_id_softmax_formal_per_seed_metrics.csv,10/10 seed wins
PEMS-BAY,continuous_outage_24,10,1.9805806279182434,1.955499255657196,0.025081372261047497,0.019911057354995765,0.01083785987733352,0.03932488464476147,9,3.9834279904566245,0.003189234646487793,3.0,0.009765625,42:0.027603388;43:0.043882132;44:0.024475813;45:0.022601604;46:0.011126041;47:-0.020591378;48:0.047497034;49:0.041162252;50:0.017704844;51:0.035351992,E:\paper_projects\sensors_faulty_sensor_paper\experiments\id_mlp_ca_matched_fault_distribution_10seed\aggregate\formal_10seed_per_seed_metrics.csv,E:\paper_projects\sensors_faulty_sensor_paper\experiments\sraf_id_final_figure_table_package\sraf_id_softmax_formal_per_seed_metrics.csv,positive aggregate delta with mixed seed-level behavior
PEMS-BAY,gaussian_noise_high,10,2.11757173538208,2.0872031927108763,0.030368542671203525,0.00949498046253642,0.02357624282544335,0.0371608425169637,10,10.114161312909465,3.2553691201586687e-06,0.0,0.001953125,42:0.033257008;43:0.040137053;44:0.019379616;45:0.033297300;46:0.017060757;47:0.015624285;48:0.041921139;49:0.032932758;50:0.034755230;51:0.035320282,E:\paper_projects\sensors_faulty_sensor_paper\experiments\id_mlp_ca_matched_fault_distribution_10seed\aggregate\formal_10seed_per_seed_metrics.csv,E:\paper_projects\sensors_faulty_sensor_paper\experiments\sraf_id_final_figure_table_package\sraf_id_softmax_formal_per_seed_metrics.csv,10/10 seed wins
