Dataset,Fault,ID-MLP-CA horizon-12 MAE mean,ID-MLP-CA horizon-12 MAE std,SRAF-ID horizon-12 MAE mean,SRAF-ID horizon-12 MAE std,Relative gain (%),Seeds,Seed wins
METR-LA,CO24,6.6055584907531735,0.047350441876031074,6.265288162231445,0.02666126313579884,5.151272659201453,10,10
METR-LA,GN-high,6.270451927185059,0.05882950880216072,6.130707788467407,0.03009416584555283,2.22861350888924,10,10
METR-LA,LD-high,6.257673120498657,0.0915225460103475,6.16755428314209,0.021923045109340886,1.440133347032121,10,8
METR-LA,RM20,6.380074167251587,0.11747812385497738,6.070431041717529,0.021765566387987614,4.853284106373428,10,10
METR-LA,RM40,6.636783599853516,0.17107206742608327,6.162181043624878,0.022513361581559203,7.1510928311586435,10,10
METR-LA,SV-high,6.206762456893921,0.0559696765516299,6.135812902450562,0.03202807452614037,1.1431008506625688,10,9
PEMS-BAY,CO24,2.417485475540161,0.011340347676656254,2.3932603359222413,0.008601030854411235,1.0020800481751388,10,9
PEMS-BAY,GN-high,2.510102367401123,0.007168931690270082,2.483181190490723,0.007781364447498025,1.0725131078328727,10,10
PEMS-BAY,LD-high,2.3995765686035155,0.009692023061366026,2.4147806406021117,0.015733262508204702,-0.6336147884393005,10,2
PEMS-BAY,RM20,2.407661080360413,0.007006590475388508,2.3418823719024657,0.009447883767706392,2.7320584692967094,10,10
PEMS-BAY,RM40,2.5005668878555296,0.00718328672025885,2.3881170749664307,0.009854251636990517,4.496972803856297,10,10
PEMS-BAY,SV-high,2.3697529792785645,0.011267486099099453,2.3547780990600584,0.010223560233842782,0.6319173495908,10,8
