dataset,fault,model,mae_mean,mae_std,relative_gain_vs_id_mlp_ca_pct,best_marker
METR-LA,continuous_outage_24,ID-MLP-CA,5.408777236938477,0.0358025710736773,0.0,
METR-LA,continuous_outage_24,KNN+ID-MLP,5.189640140533447,0.0236603125658584,4.051508997421154,
METR-LA,continuous_outage_24,PPCA-lite+ID-MLP,4.78894567489624,0.0139242282363163,11.459735442775951,
METR-LA,continuous_outage_24,PyPOTS-SAITS+ID-MLP,4.782529830932617,0.0167157522005941,11.57835456282044,best
METR-LA,continuous_outage_24,SRAF-ID,5.360856342315674,0.0086323112934904,0.8859838836684558,
METR-LA,gaussian_noise_high,ID-MLP-CA,4.991644716262817,0.055004011137371,0.0,
METR-LA,gaussian_noise_high,KNN+ID-MLP,6.654917287826538,0.042604666535718,-33.32113293529818,
METR-LA,gaussian_noise_high,PPCA-lite+ID-MLP,13.320888423919678,0.122696694838953,-166.86371288645847,
METR-LA,gaussian_noise_high,PyPOTS-SAITS+ID-MLP,13.62445592880249,0.4956786452802495,-172.94522553686377,
METR-LA,gaussian_noise_high,SRAF-ID,4.807840871810913,0.0112987461485988,3.682230104499821,best
METR-LA,linear_drift_high,ID-MLP-CA,5.028336715698242,0.063760732561073,0.0,
METR-LA,linear_drift_high,KNN+ID-MLP,9.19832067489624,0.2066177628607806,-82.92968818455402,
METR-LA,linear_drift_high,PPCA-lite+ID-MLP,12.48894510269165,0.0609913204095471,-148.37129668945443,
METR-LA,linear_drift_high,PyPOTS-SAITS+ID-MLP,13.62445592880249,0.4956786452802495,-170.95353193567067,
METR-LA,linear_drift_high,SRAF-ID,4.885411214828491,0.0283641526204077,2.842401154710741,best
METR-LA,random_missing_20,ID-MLP-CA,4.952693367004395,0.0779782349315103,0.0,
METR-LA,random_missing_20,KNN+ID-MLP,5.739272022247315,0.073581825149675,-15.881836345517128,
METR-LA,random_missing_20,PPCA-lite+ID-MLP,4.864403343200683,0.0227431479801923,1.7826668695444254,
METR-LA,random_missing_20,PyPOTS-SAITS+ID-MLP,4.894989109039306,0.0264968030102309,1.1651086325982392,
METR-LA,random_missing_20,SRAF-ID,4.713530588150024,0.0092669996052241,4.828943791426901,best
METR-LA,random_missing_40,ID-MLP-CA,5.361892414093018,0.1048081565697017,0.0,
METR-LA,random_missing_40,KNN+ID-MLP,7.283320617675781,0.1060407093123513,-35.83488916212765,
METR-LA,random_missing_40,PPCA-lite+ID-MLP,5.166486358642578,0.0293167580922131,3.644348680641955,
METR-LA,random_missing_40,PyPOTS-SAITS+ID-MLP,5.145468473434448,0.0308991825152703,4.036335009067472,
METR-LA,random_missing_40,SRAF-ID,4.851596593856812,0.0103763041073144,9.517084283432487,best
METR-LA,stuck_at_last_value_high,ID-MLP-CA,4.890149211883545,0.0466523760647027,0.0,
METR-LA,stuck_at_last_value_high,KNN+ID-MLP,4.928009271621704,0.0308524342556587,-0.7742107264570958,
METR-LA,stuck_at_last_value_high,PPCA-lite+ID-MLP,4.856825971603394,0.0130096780091641,0.6814360633244462,
METR-LA,stuck_at_last_value_high,PyPOTS-SAITS+ID-MLP,4.842764949798584,0.0240886054655556,0.968973747668323,
METR-LA,stuck_at_last_value_high,SRAF-ID,4.803385591506958,0.0245485454676596,1.7742530261805258,best
PEMS-BAY,continuous_outage_24,ID-MLP-CA,1.997821569442749,0.0129880788723342,0.0,
PEMS-BAY,continuous_outage_24,KNN+ID-MLP,1.9180986762046812,0.0042697738819636,3.9904911658504543,
PEMS-BAY,continuous_outage_24,PPCA-lite+ID-MLP,1.7910003304481503,0.0076337595033232,10.352337874312129,best
