dataset,fault,model,h3_mae_mean,h6_mae_mean,h12_mae_mean
METR-LA,clean,ID-MLP-CA,3.7133954524993897,4.7545675277709964,6.122997570037842
METR-LA,continuous_outage_24,ID-MLP-CA,4.538072109222412,5.435858583450317,6.629610586166382
METR-LA,gaussian_noise_high,ID-MLP-CA,4.053419399261474,5.004250955581665,6.316861915588379
METR-LA,linear_drift_high,ID-MLP-CA,4.136958837509155,5.065574216842651,6.258183336257934
METR-LA,random_missing_20,ID-MLP-CA,4.014462876319885,4.983692455291748,6.262473726272583
METR-LA,random_missing_40,ID-MLP-CA,4.527794075012207,5.38220796585083,6.535284185409546
METR-LA,stuck_at_last_value_high,ID-MLP-CA,3.9337103605270394,4.916779279708862,6.2358214378356935
METR-LA,clean,KNN+ID-MLP,3.6066241979599,4.684824657440186,6.067738103866577
METR-LA,continuous_outage_24,KNN+ID-MLP,4.253661680221557,5.2371622085571286,6.493161058425903
METR-LA,gaussian_noise_high,KNN+ID-MLP,6.103875064849854,6.641700553894043,7.449407148361206
METR-LA,linear_drift_high,KNN+ID-MLP,8.904560565948486,9.252336692810058,9.60569190979004
METR-LA,random_missing_20,KNN+ID-MLP,4.86731743812561,5.795832967758178,6.935541582107544
METR-LA,random_missing_40,KNN+ID-MLP,6.605636596679688,7.3450408458709715,8.18934679031372
METR-LA,stuck_at_last_value_high,KNN+ID-MLP,3.9738068342208863,4.975149250030517,6.270249271392823
METR-LA,clean,PPCA-lite+ID-MLP,3.612231349945069,4.693459844589233,6.081744050979614
METR-LA,continuous_outage_24,PPCA-lite+ID-MLP,3.8117763996124263,4.833012962341309,6.1556988716125485
METR-LA,gaussian_noise_high,PPCA-lite+ID-MLP,14.41925058364868,13.213833332061768,12.042720890045166
METR-LA,linear_drift_high,PPCA-lite+ID-MLP,13.17766065597534,12.474003982543945,11.653818798065185
METR-LA,random_missing_20,PPCA-lite+ID-MLP,3.919162678718567,4.90752682685852,6.174989604949952
METR-LA,random_missing_40,PPCA-lite+ID-MLP,4.320270013809204,5.201169443130493,6.335101795196533
METR-LA,stuck_at_last_value_high,PPCA-lite+ID-MLP,3.8898477792739863,4.908158016204834,6.207468509674072
METR-LA,clean,PyPOTS-SAITS+ID-MLP,3.620948576927185,4.696831464767456,6.078990745544433
METR-LA,continuous_outage_24,PyPOTS-SAITS+ID-MLP,3.786273789405823,4.828056955337525,6.173297882080078
METR-LA,gaussian_noise_high,PyPOTS-SAITS+ID-MLP,14.479984378814695,13.592586994171144,12.613522720336912
METR-LA,linear_drift_high,PyPOTS-SAITS+ID-MLP,14.479984378814695,13.592586994171144,12.613522720336912
METR-LA,random_missing_20,PyPOTS-SAITS+ID-MLP,3.902845215797425,4.939382648468017,6.275907897949219
METR-LA,random_missing_40,PyPOTS-SAITS+ID-MLP,4.194185018539429,5.179917192459106,6.47114930152893
METR-LA,stuck_at_last_value_high,PyPOTS-SAITS+ID-MLP,3.839388203620911,4.890731906890869,6.242898273468017
METR-LA,clean,SRAF-ID,3.645501708984375,4.683208465576172,6.001842594146728
METR-LA,continuous_outage_24,SRAF-ID,4.514667081832886,5.399036979675293,6.537292528152466
METR-LA,gaussian_noise_high,SRAF-ID,3.8770708322525023,4.838354015350342,6.096296548843384
METR-LA,linear_drift_high,SRAF-ID,3.961196494102478,4.931093311309814,6.141292667388916
METR-LA,random_missing_20,SRAF-ID,3.746646738052368,4.761941051483154,6.045859146118164
METR-LA,random_missing_40,SRAF-ID,3.922269654273987,4.897018814086914,6.137249660491944
METR-LA,stuck_at_last_value_high,SRAF-ID,3.862954020500183,4.8419599533081055,6.113574552536011
PEMS-BAY,clean,ID-MLP-CA,1.4798935413360597,1.8521153688430787,2.3218684673309324
PEMS-BAY,continuous_outage_24,ID-MLP-CA,1.718327486515045,2.023374819755554,2.4224792242050173
PEMS-BAY,gaussian_noise_high,ID-MLP-CA,1.8901663780212403,2.1460566759109496,2.51405200958252
PEMS-BAY,linear_drift_high,ID-MLP-CA,1.7587009787559509,2.043902325630188,2.4241536140441893
PEMS-BAY,random_missing_20,ID-MLP-CA,1.5655238389968873,1.9195863127708437,2.379730772972107
PEMS-BAY,random_missing_40,ID-MLP-CA,1.7162133574485778,2.034515047073364,2.4700319528579717
PEMS-BAY,stuck_at_last_value_high,ID-MLP-CA,1.5708442449569702,1.91572470664978,2.364668774604797
PEMS-BAY,clean,KNN+ID-MLP,1.3903671622276306,1.7800556898117066,2.22551257610321
PEMS-BAY,continuous_outage_24,KNN+ID-MLP,1.625172758102417,1.9638619065284728,2.349927806854248
PEMS-BAY,gaussian_noise_high,KNN+ID-MLP,2.9952335357666016,2.9584741592407227,2.971928524971008
